date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:37	48005/48005	---M-Z	200	added ('OK')	text/html	etag:%22bb85-64948000-49776df570f85a6f;gz%22	https://wpriverthemes.com/HTML/drake/index.html	C:/Users/user/Desktop/nourhenep/wpriverthemes.com/HTML/drake/index.html	(from )
18:06:38	114/114	---M-Z	200	added ('OK')	text/plain	date:Mon,%2007%20Aug%202023%2016:06:38%20GMT	https://wpriverthemes.com/robots.txt		(from )
18:06:38	2217/2217	---M--	200	added ('OK')	image/png	etag:%228a9-642a65bb-8251c30decb141b6;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/favicon.png	C:/Users/user/Desktop/nourhenep/wpriverthemes.com/HTML/drake/assets/images/favicon.png	(from https://wpriverthemes.com/HTML/drake/index.html)
18:06:39	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-wb0UGHttyzbvrSHlFxH4lBgB3g8%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	C:/Users/user/Desktop/nourhenep/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
18:06:39	155800/155800	---M-Z	200	added ('OK')	text/css	etag:%2226098-642a65be-3407cdef459a16c2;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/bootstrap.min.css	C:/Users/user/Desktop/nourhenep/wpriverthemes.com/HTML/drake/assets/css/bootstrap.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
18:06:39	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-642a65be-e4a3b3204e8335dd;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css	C:/Users/user/Desktop/nourhenep/wpriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
18:06:40	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-642a65be-d928da69ffd89451;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/owl.theme.default.min.css	C:/Users/user/Desktop/nourhenep/wpriverthemes.com/HTML/drake/assets/css/owl.theme.default.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
18:06:40	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-642a65be-786cd9deae3d2cc;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/animate.min.css	C:/Users/user/Desktop/nourhenep/wpriverthemes.com/HTML/drake/assets/css/animate.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
18:06:40	1717/1717	---M-Z	200	added ('OK')	text/css	etag:%226b5-642a65be-5d2c6524f60d5031;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/smooth-scrollbar.css	C:/Users/user/Desktop/nourhenep/wpriverthemes.com/HTML/drake/assets/css/smooth-scrollbar.css	(from https://wpriverthemes.com/HTML/drake/index.html)
18:06:40	2532/2532	---M-Z	200	added ('OK')	text/css	etag:%229e4-642a65bf-51e06c439d951e6e;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/lightbox.min.css	C:/Users/user/Desktop/nourhenep/wpriverthemes.com/HTML/drake/assets/css/lightbox.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
18:06:41	43777/43777	---M-Z	200	added ('OK')	text/css	etag:%22ab01-649474dd-b810f33d968a8021;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/style.css	C:/Users/user/Desktop/nourhenep/wpriverthemes.com/HTML/drake/assets/css/style.css	(from https://wpriverthemes.com/HTML/drake/index.html)
18:06:41	7983/7983	---M-Z	200	added ('OK')	text/css	etag:%221f2f-642a65be-c3a281bc9e0fbed8;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/responsive.css	C:/Users/user/Desktop/nourhenep/wpriverthemes.com/HTML/drake/assets/css/responsive.css	(from https://wpriverthemes.com/HTML/drake/index.html)
18:06:41	48157/48157	---M-Z	200	added ('OK')	text/html	etag:%22bc1d-642a65b6-83b4e98ee981119f;gz%22	https://wpriverthemes.com/HTML/drake/home1.html	C:/Users/user/Desktop/nourhenep/wpriverthemes.com/HTML/drake/home1.html	(from https://wpriverthemes.com/HTML/drake/index.html)
